Date,Bitcoin,Gold,S&P500,CSHPNI (Case–Shiller index),M2 (billions)
1833-01-31 00:00:00,0,18.93,0,0,0
1833-02-28 00:00:00,0,18.93,0,0,0
1833-03-31 00:00:00,0,18.93,0,0,0
1833-04-30 00:00:00,0,18.93,0,0,0
1833-05-31 00:00:00,0,18.93,0,0,0
1833-06-30 00:00:00,0,18.93,0,0,0
1833-07-31 00:00:00,0,18.93,0,0,0
1833-08-31 00:00:00,0,18.93,0,0,0
1833-09-30 00:00:00,0,18.93,0,0,0
1833-10-31 00:00:00,0,18.93,0,0,0
1833-11-30 00:00:00,0,18.93,0,0,0
1833-12-31 00:00:00,0,18.93,0,0,0
1834-01-31 00:00:00,0,18.93,0,0,0
1834-02-28 00:00:00,0,18.93,0,0,0
1834-03-31 00:00:00,0,18.93,0,0,0
1834-04-30 00:00:00,0,18.93,0,0,0
1834-05-31 00:00:00,0,18.93,0,0,0
1834-06-30 00:00:00,0,18.93,0,0,0
1834-07-31 00:00:00,0,18.93,0,0,0
1834-08-31 00:00:00,0,18.93,0,0,0
1834-09-30 00:00:00,0,18.93,0,0,0
1834-10-31 00:00:00,0,18.93,0,0,0
1834-11-30 00:00:00,0,18.93,0,0,0
1834-12-31 00:00:00,0,18.93,0,0,0
1835-01-31 00:00:00,0,18.93,0,0,0
1835-02-28 00:00:00,0,18.93,0,0,0
1835-03-31 00:00:00,0,18.93,0,0,0
1835-04-30 00:00:00,0,18.93,0,0,0
1835-05-31 00:00:00,0,18.93,0,0,0
1835-06-30 00:00:00,0,18.93,0,0,0
1835-07-31 00:00:00,0,18.93,0,0,0
1835-08-31 00:00:00,0,18.93,0,0,0
1835-09-30 00:00:00,0,18.93,0,0,0
1835-10-31 00:00:00,0,18.93,0,0,0
1835-11-30 00:00:00,0,18.93,0,0,0
1835-12-31 00:00:00,0,18.93,0,0,0
1836-01-31 00:00:00,0,18.93,0,0,0
1836-02-29 00:00:00,0,18.93,0,0,0
1836-03-31 00:00:00,0,18.93,0,0,0
1836-04-30 00:00:00,0,18.93,0,0,0
1836-05-31 00:00:00,0,18.93,0,0,0
1836-06-30 00:00:00,0,18.93,0,0,0
1836-07-31 00:00:00,0,18.93,0,0,0
1836-08-31 00:00:00,0,18.93,0,0,0
1836-09-30 00:00:00,0,18.93,0,0,0
1836-10-31 00:00:00,0,18.93,0,0,0
1836-11-30 00:00:00,0,18.93,0,0,0
1836-12-31 00:00:00,0,18.93,0,0,0
1837-01-31 00:00:00,0,18.93,0,0,0
1837-02-28 00:00:00,0,18.93,0,0,0
1837-03-31 00:00:00,0,18.93,0,0,0
1837-04-30 00:00:00,0,18.93,0,0,0
1837-05-31 00:00:00,0,18.93,0,0,0
1837-06-30 00:00:00,0,18.93,0,0,0
1837-07-31 00:00:00,0,18.93,0,0,0
1837-08-31 00:00:00,0,18.93,0,0,0
1837-09-30 00:00:00,0,18.93,0,0,0
1837-10-31 00:00:00,0,18.93,0,0,0
1837-11-30 00:00:00,0,18.93,0,0,0
1837-12-31 00:00:00,0,18.93,0,0,0
1838-01-31 00:00:00,0,18.93,0,0,0
1838-02-28 00:00:00,0,18.93,0,0,0
1838-03-31 00:00:00,0,18.93,0,0,0
1838-04-30 00:00:00,0,18.93,0,0,0
1838-05-31 00:00:00,0,18.93,0,0,0
1838-06-30 00:00:00,0,18.93,0,0,0
1838-07-31 00:00:00,0,18.93,0,0,0
1838-08-31 00:00:00,0,18.93,0,0,0
1838-09-30 00:00:00,0,18.93,0,0,0
1838-10-31 00:00:00,0,18.93,0,0,0
1838-11-30 00:00:00,0,18.93,0,0,0
1838-12-31 00:00:00,0,18.93,0,0,0
1839-01-31 00:00:00,0,18.93,0,0,0
1839-02-28 00:00:00,0,18.93,0,0,0
1839-03-31 00:00:00,0,18.93,0,0,0
1839-04-30 00:00:00,0,18.93,0,0,0
1839-05-31 00:00:00,0,18.93,0,0,0
1839-06-30 00:00:00,0,18.93,0,0,0
1839-07-31 00:00:00,0,18.93,0,0,0
1839-08-31 00:00:00,0,18.93,0,0,0
1839-09-30 00:00:00,0,18.93,0,0,0
1839-10-31 00:00:00,0,18.93,0,0,0
1839-11-30 00:00:00,0,18.93,0,0,0
1839-12-31 00:00:00,0,18.93,0,0,0
1840-01-31 00:00:00,0,18.93,0,0,0
1840-02-29 00:00:00,0,18.93,0,0,0
1840-03-31 00:00:00,0,18.93,0,0,0
1840-04-30 00:00:00,0,18.93,0,0,0
1840-05-31 00:00:00,0,18.93,0,0,0
1840-06-30 00:00:00,0,18.93,0,0,0
1840-07-31 00:00:00,0,18.93,0,0,0
1840-08-31 00:00:00,0,18.93,0,0,0
1840-09-30 00:00:00,0,18.93,0,0,0
1840-10-31 00:00:00,0,18.93,0,0,0
1840-11-30 00:00:00,0,18.93,0,0,0
1840-12-31 00:00:00,0,18.93,0,0,0
1841-01-31 00:00:00,0,18.93,0,0,0
1841-02-28 00:00:00,0,18.93,0,0,0
1841-03-31 00:00:00,0,18.93,0,0,0
1841-04-30 00:00:00,0,18.93,0,0,0
1841-05-31 00:00:00,0,18.93,0,0,0
1841-06-30 00:00:00,0,18.93,0,0,0
1841-07-31 00:00:00,0,18.93,0,0,0
1841-08-31 00:00:00,0,18.93,0,0,0
1841-09-30 00:00:00,0,18.93,0,0,0
1841-10-31 00:00:00,0,18.93,0,0,0
1841-11-30 00:00:00,0,18.93,0,0,0
1841-12-31 00:00:00,0,18.93,0,0,0
1842-01-31 00:00:00,0,18.93,0,0,0
1842-02-28 00:00:00,0,18.93,0,0,0
1842-03-31 00:00:00,0,18.93,0,0,0
1842-04-30 00:00:00,0,18.93,0,0,0
1842-05-31 00:00:00,0,18.93,0,0,0
1842-06-30 00:00:00,0,18.93,0,0,0
1842-07-31 00:00:00,0,18.93,0,0,0
1842-08-31 00:00:00,0,18.93,0,0,0
1842-09-30 00:00:00,0,18.93,0,0,0
1842-10-31 00:00:00,0,18.93,0,0,0
1842-11-30 00:00:00,0,18.93,0,0,0
1842-12-31 00:00:00,0,18.93,0,0,0
1843-01-31 00:00:00,0,18.93,0,0,0
1843-02-28 00:00:00,0,18.93,0,0,0
1843-03-31 00:00:00,0,18.93,0,0,0
1843-04-30 00:00:00,0,18.93,0,0,0
1843-05-31 00:00:00,0,18.93,0,0,0
1843-06-30 00:00:00,0,18.93,0,0,0
1843-07-31 00:00:00,0,18.93,0,0,0
1843-08-31 00:00:00,0,18.93,0,0,0
1843-09-30 00:00:00,0,18.93,0,0,0
1843-10-31 00:00:00,0,18.93,0,0,0
1843-11-30 00:00:00,0,18.93,0,0,0
1843-12-31 00:00:00,0,18.93,0,0,0
1844-01-31 00:00:00,0,18.93,0,0,0
1844-02-29 00:00:00,0,18.93,0,0,0
1844-03-31 00:00:00,0,18.93,0,0,0
1844-04-30 00:00:00,0,18.93,0,0,0
1844-05-31 00:00:00,0,18.93,0,0,0
1844-06-30 00:00:00,0,18.93,0,0,0
1844-07-31 00:00:00,0,18.93,0,0,0
1844-08-31 00:00:00,0,18.93,0,0,0
1844-09-30 00:00:00,0,18.93,0,0,0
1844-10-31 00:00:00,0,18.93,0,0,0
1844-11-30 00:00:00,0,18.93,0,0,0
1844-12-31 00:00:00,0,18.93,0,0,0
1845-01-31 00:00:00,0,18.93,0,0,0
1845-02-28 00:00:00,0,18.93,0,0,0
1845-03-31 00:00:00,0,18.93,0,0,0
1845-04-30 00:00:00,0,18.93,0,0,0
1845-05-31 00:00:00,0,18.93,0,0,0
1845-06-30 00:00:00,0,18.93,0,0,0
1845-07-31 00:00:00,0,18.93,0,0,0
1845-08-31 00:00:00,0,18.93,0,0,0
1845-09-30 00:00:00,0,18.93,0,0,0
1845-10-31 00:00:00,0,18.93,0,0,0
1845-11-30 00:00:00,0,18.93,0,0,0
1845-12-31 00:00:00,0,18.93,0,0,0
1846-01-31 00:00:00,0,18.93,0,0,0
1846-02-28 00:00:00,0,18.93,0,0,0
1846-03-31 00:00:00,0,18.93,0,0,0
1846-04-30 00:00:00,0,18.93,0,0,0
1846-05-31 00:00:00,0,18.93,0,0,0
1846-06-30 00:00:00,0,18.93,0,0,0
1846-07-31 00:00:00,0,18.93,0,0,0
1846-08-31 00:00:00,0,18.93,0,0,0
1846-09-30 00:00:00,0,18.93,0,0,0
1846-10-31 00:00:00,0,18.93,0,0,0
1846-11-30 00:00:00,0,18.93,0,0,0
1846-12-31 00:00:00,0,18.93,0,0,0
1847-01-31 00:00:00,0,18.93,0,0,0
1847-02-28 00:00:00,0,18.93,0,0,0
1847-03-31 00:00:00,0,18.93,0,0,0
1847-04-30 00:00:00,0,18.93,0,0,0
1847-05-31 00:00:00,0,18.93,0,0,0
1847-06-30 00:00:00,0,18.93,0,0,0
1847-07-31 00:00:00,0,18.93,0,0,0
1847-08-31 00:00:00,0,18.93,0,0,0
1847-09-30 00:00:00,0,18.93,0,0,0
1847-10-31 00:00:00,0,18.93,0,0,0
1847-11-30 00:00:00,0,18.93,0,0,0
1847-12-31 00:00:00,0,18.93,0,0,0
1848-01-31 00:00:00,0,18.93,0,0,0
1848-02-29 00:00:00,0,18.93,0,0,0
1848-03-31 00:00:00,0,18.93,0,0,0
1848-04-30 00:00:00,0,18.93,0,0,0
1848-05-31 00:00:00,0,18.93,0,0,0
1848-06-30 00:00:00,0,18.93,0,0,0
1848-07-31 00:00:00,0,18.93,0,0,0
1848-08-31 00:00:00,0,18.93,0,0,0
1848-09-30 00:00:00,0,18.93,0,0,0
1848-10-31 00:00:00,0,18.93,0,0,0
1848-11-30 00:00:00,0,18.93,0,0,0
1848-12-31 00:00:00,0,18.93,0,0,0
1849-01-31 00:00:00,0,18.93,0,0,0
1849-02-28 00:00:00,0,18.93,0,0,0
1849-03-31 00:00:00,0,18.93,0,0,0
1849-04-30 00:00:00,0,18.93,0,0,0
1849-05-31 00:00:00,0,18.93,0,0,0
1849-06-30 00:00:00,0,18.93,0,0,0
1849-07-31 00:00:00,0,18.93,0,0,0
1849-08-31 00:00:00,0,18.93,0,0,0
1849-09-30 00:00:00,0,18.93,0,0,0
1849-10-31 00:00:00,0,18.93,0,0,0
1849-11-30 00:00:00,0,18.93,0,0,0
1849-12-31 00:00:00,0,18.93,0,0,0
1850-01-31 00:00:00,0,18.93,0,0,0
1850-02-28 00:00:00,0,18.93,0,0,0
1850-03-31 00:00:00,0,18.93,0,0,0
1850-04-30 00:00:00,0,18.93,0,0,0
1850-05-31 00:00:00,0,18.93,0,0,0
1850-06-30 00:00:00,0,18.93,0,0,0
1850-07-31 00:00:00,0,18.93,0,0,0
1850-08-31 00:00:00,0,18.93,0,0,0
1850-09-30 00:00:00,0,18.93,0,0,0
1850-10-31 00:00:00,0,18.93,0,0,0
1850-11-30 00:00:00,0,18.93,0,0,0
1850-12-31 00:00:00,0,18.93,0,0,0
1851-01-31 00:00:00,0,18.93,0,0,0
1851-02-28 00:00:00,0,18.93,0,0,0
1851-03-31 00:00:00,0,18.93,0,0,0
1851-04-30 00:00:00,0,18.93,0,0,0
1851-05-31 00:00:00,0,18.93,0,0,0
1851-06-30 00:00:00,0,18.93,0,0,0
1851-07-31 00:00:00,0,18.93,0,0,0
1851-08-31 00:00:00,0,18.93,0,0,0
1851-09-30 00:00:00,0,18.93,0,0,0
1851-10-31 00:00:00,0,18.93,0,0,0
1851-11-30 00:00:00,0,18.93,0,0,0
1851-12-31 00:00:00,0,18.93,0,0,0
1852-01-31 00:00:00,0,18.93,0,0,0
1852-02-29 00:00:00,0,18.93,0,0,0
1852-03-31 00:00:00,0,18.93,0,0,0
1852-04-30 00:00:00,0,18.93,0,0,0
1852-05-31 00:00:00,0,18.93,0,0,0
1852-06-30 00:00:00,0,18.93,0,0,0
1852-07-31 00:00:00,0,18.93,0,0,0
1852-08-31 00:00:00,0,18.93,0,0,0
1852-09-30 00:00:00,0,18.93,0,0,0
1852-10-31 00:00:00,0,18.93,0,0,0
1852-11-30 00:00:00,0,18.93,0,0,0
1852-12-31 00:00:00,0,18.93,0,0,0
1853-01-31 00:00:00,0,18.93,0,0,0
1853-02-28 00:00:00,0,18.93,0,0,0
1853-03-31 00:00:00,0,18.93,0,0,0
1853-04-30 00:00:00,0,18.93,0,0,0
1853-05-31 00:00:00,0,18.93,0,0,0
1853-06-30 00:00:00,0,18.93,0,0,0
1853-07-31 00:00:00,0,18.93,0,0,0
1853-08-31 00:00:00,0,18.93,0,0,0
1853-09-30 00:00:00,0,18.93,0,0,0
1853-10-31 00:00:00,0,18.93,0,0,0
1853-11-30 00:00:00,0,18.93,0,0,0
1853-12-31 00:00:00,0,18.93,0,0,0
1854-01-31 00:00:00,0,18.93,0,0,0
1854-02-28 00:00:00,0,18.93,0,0,0
1854-03-31 00:00:00,0,18.93,0,0,0
1854-04-30 00:00:00,0,18.93,0,0,0
1854-05-31 00:00:00,0,18.93,0,0,0
1854-06-30 00:00:00,0,18.93,0,0,0
1854-07-31 00:00:00,0,18.93,0,0,0
1854-08-31 00:00:00,0,18.93,0,0,0
1854-09-30 00:00:00,0,18.93,0,0,0
1854-10-31 00:00:00,0,18.93,0,0,0
1854-11-30 00:00:00,0,18.93,0,0,0
1854-12-31 00:00:00,0,18.93,0,0,0
1855-01-31 00:00:00,0,18.93,0,0,0
1855-02-28 00:00:00,0,18.93,0,0,0
1855-03-31 00:00:00,0,18.93,0,0,0
1855-04-30 00:00:00,0,18.93,0,0,0
1855-05-31 00:00:00,0,18.93,0,0,0
1855-06-30 00:00:00,0,18.93,0,0,0
1855-07-31 00:00:00,0,18.93,0,0,0
1855-08-31 00:00:00,0,18.93,0,0,0
1855-09-30 00:00:00,0,18.93,0,0,0
1855-10-31 00:00:00,0,18.93,0,0,0
1855-11-30 00:00:00,0,18.93,0,0,0
1855-12-31 00:00:00,0,18.93,0,0,0
1856-01-31 00:00:00,0,18.93,0,0,0
1856-02-29 00:00:00,0,18.93,0,0,0
1856-03-31 00:00:00,0,18.93,0,0,0
1856-04-30 00:00:00,0,18.93,0,0,0
1856-05-31 00:00:00,0,18.93,0,0,0
1856-06-30 00:00:00,0,18.93,0,0,0
1856-07-31 00:00:00,0,18.93,0,0,0
1856-08-31 00:00:00,0,18.93,0,0,0
1856-09-30 00:00:00,0,18.93,0,0,0
1856-10-31 00:00:00,0,18.93,0,0,0
1856-11-30 00:00:00,0,18.93,0,0,0
1856-12-31 00:00:00,0,18.93,0,0,0
1857-01-31 00:00:00,0,18.93,0,0,0
1857-02-28 00:00:00,0,18.93,0,0,0
1857-03-31 00:00:00,0,18.93,0,0,0
1857-04-30 00:00:00,0,18.93,0,0,0
1857-05-31 00:00:00,0,18.93,0,0,0
1857-06-30 00:00:00,0,18.93,0,0,0
1857-07-31 00:00:00,0,18.93,0,0,0
1857-08-31 00:00:00,0,18.93,0,0,0
1857-09-30 00:00:00,0,18.93,0,0,0
1857-10-31 00:00:00,0,18.93,0,0,0
1857-11-30 00:00:00,0,18.93,0,0,0
1857-12-31 00:00:00,0,18.93,0,0,0
1858-01-31 00:00:00,0,18.93,0,0,0
1858-02-28 00:00:00,0,18.93,0,0,0
1858-03-31 00:00:00,0,18.93,0,0,0
1858-04-30 00:00:00,0,18.93,0,0,0
1858-05-31 00:00:00,0,18.93,0,0,0
1858-06-30 00:00:00,0,18.93,0,0,0
1858-07-31 00:00:00,0,18.93,0,0,0
1858-08-31 00:00:00,0,18.93,0,0,0
1858-09-30 00:00:00,0,18.93,0,0,0
1858-10-31 00:00:00,0,18.93,0,0,0
1858-11-30 00:00:00,0,18.93,0,0,0
1858-12-31 00:00:00,0,18.93,0,0,0
1859-01-31 00:00:00,0,18.93,0,0,0
1859-02-28 00:00:00,0,18.93,0,0,0
1859-03-31 00:00:00,0,18.93,0,0,0
1859-04-30 00:00:00,0,18.93,0,0,0
1859-05-31 00:00:00,0,18.93,0,0,0
1859-06-30 00:00:00,0,18.93,0,0,0
1859-07-31 00:00:00,0,18.93,0,0,0
1859-08-31 00:00:00,0,18.93,0,0,0
1859-09-30 00:00:00,0,18.93,0,0,0
1859-10-31 00:00:00,0,18.93,0,0,0
1859-11-30 00:00:00,0,18.93,0,0,0
1859-12-31 00:00:00,0,18.93,0,0,0
1860-01-31 00:00:00,0,18.93,0,0,0
1860-02-29 00:00:00,0,18.93,0,0,0
1860-03-31 00:00:00,0,18.93,0,0,0
1860-04-30 00:00:00,0,18.93,0,0,0
1860-05-31 00:00:00,0,18.93,0,0,0
1860-06-30 00:00:00,0,18.93,0,0,0
1860-07-31 00:00:00,0,18.93,0,0,0
1860-08-31 00:00:00,0,18.93,0,0,0
1860-09-30 00:00:00,0,18.93,0,0,0
1860-10-31 00:00:00,0,18.93,0,0,0
1860-11-30 00:00:00,0,18.93,0,0,0
1860-12-31 00:00:00,0,18.93,0,0,0
1861-01-31 00:00:00,0,18.93,0,0,0
1861-02-28 00:00:00,0,18.93,0,0,0
1861-03-31 00:00:00,0,18.93,0,0,0
1861-04-30 00:00:00,0,18.93,0,0,0
1861-05-31 00:00:00,0,18.93,0,0,0
1861-06-30 00:00:00,0,18.93,0,0,0
1861-07-31 00:00:00,0,18.93,0,0,0
1861-08-31 00:00:00,0,18.93,0,0,0
1861-09-30 00:00:00,0,18.93,0,0,0
1861-10-31 00:00:00,0,18.93,0,0,0
1861-11-30 00:00:00,0,18.93,0,0,0
1861-12-31 00:00:00,0,18.93,0,0,0
1862-01-31 00:00:00,0,18.93,0,0,0
1862-02-28 00:00:00,0,18.93,0,0,0
1862-03-31 00:00:00,0,18.93,0,0,0
1862-04-30 00:00:00,0,18.93,0,0,0
1862-05-31 00:00:00,0,18.93,0,0,0
1862-06-30 00:00:00,0,18.93,0,0,0
1862-07-31 00:00:00,0,18.93,0,0,0
1862-08-31 00:00:00,0,18.93,0,0,0
1862-09-30 00:00:00,0,18.93,0,0,0
1862-10-31 00:00:00,0,18.93,0,0,0
1862-11-30 00:00:00,0,18.93,0,0,0
1862-12-31 00:00:00,0,18.93,0,0,0
1863-01-31 00:00:00,0,18.93,0,0,0
1863-02-28 00:00:00,0,18.93,0,0,0
1863-03-31 00:00:00,0,18.93,0,0,0
1863-04-30 00:00:00,0,18.93,0,0,0
1863-05-31 00:00:00,0,18.93,0,0,0
1863-06-30 00:00:00,0,18.93,0,0,0
1863-07-31 00:00:00,0,18.93,0,0,0
1863-08-31 00:00:00,0,18.93,0,0,0
1863-09-30 00:00:00,0,18.93,0,0,0
1863-10-31 00:00:00,0,18.93,0,0,0
1863-11-30 00:00:00,0,18.93,0,0,0
1863-12-31 00:00:00,0,18.93,0,0,0
1864-01-31 00:00:00,0,18.93,0,0,0
1864-02-29 00:00:00,0,18.93,0,0,0
1864-03-31 00:00:00,0,18.93,0,0,0
1864-04-30 00:00:00,0,18.93,0,0,0
1864-05-31 00:00:00,0,18.93,0,0,0
1864-06-30 00:00:00,0,18.93,0,0,0
1864-07-31 00:00:00,0,18.93,0,0,0
1864-08-31 00:00:00,0,18.93,0,0,0
1864-09-30 00:00:00,0,18.93,0,0,0
1864-10-31 00:00:00,0,18.93,0,0,0
1864-11-30 00:00:00,0,18.93,0,0,0
1864-12-31 00:00:00,0,18.93,0,0,0
1865-01-31 00:00:00,0,18.93,0,0,0
1865-02-28 00:00:00,0,18.93,0,0,0
1865-03-31 00:00:00,0,18.93,0,0,0
1865-04-30 00:00:00,0,18.93,0,0,0
1865-05-31 00:00:00,0,18.93,0,0,0
1865-06-30 00:00:00,0,18.93,0,0,0
1865-07-31 00:00:00,0,18.93,0,0,0
1865-08-31 00:00:00,0,18.93,0,0,0
1865-09-30 00:00:00,0,18.93,0,0,0
1865-10-31 00:00:00,0,18.93,0,0,0
1865-11-30 00:00:00,0,18.93,0,0,0
1865-12-31 00:00:00,0,18.93,0,0,0
1866-01-31 00:00:00,0,18.93,0,0,0
1866-02-28 00:00:00,0,18.93,0,0,0
1866-03-31 00:00:00,0,18.93,0,0,0
1866-04-30 00:00:00,0,18.93,0,0,0
1866-05-31 00:00:00,0,18.93,0,0,0
1866-06-30 00:00:00,0,18.93,0,0,0
1866-07-31 00:00:00,0,18.93,0,0,0
1866-08-31 00:00:00,0,18.93,0,0,0
1866-09-30 00:00:00,0,18.93,0,0,0
1866-10-31 00:00:00,0,18.93,0,0,0
1866-11-30 00:00:00,0,18.93,0,0,0
1866-12-31 00:00:00,0,18.93,0,0,0
1867-01-31 00:00:00,0,18.93,0,0,0
1867-02-28 00:00:00,0,18.93,0,0,0
1867-03-31 00:00:00,0,18.93,0,0,0
1867-04-30 00:00:00,0,18.93,0,0,0
1867-05-31 00:00:00,0,18.93,0,0,0
1867-06-30 00:00:00,0,18.93,0,0,0
1867-07-31 00:00:00,0,18.93,0,0,0
1867-08-31 00:00:00,0,18.93,0,0,0
1867-09-30 00:00:00,0,18.93,0,0,0
1867-10-31 00:00:00,0,18.93,0,0,0
1867-11-30 00:00:00,0,18.93,0,0,0
1867-12-31 00:00:00,0,18.93,0,0,0
1868-01-31 00:00:00,0,18.93,0,0,0
1868-02-29 00:00:00,0,18.93,0,0,0
1868-03-31 00:00:00,0,18.93,0,0,0
1868-04-30 00:00:00,0,18.93,0,0,0
1868-05-31 00:00:00,0,18.93,0,0,0
1868-06-30 00:00:00,0,18.93,0,0,0
1868-07-31 00:00:00,0,18.93,0,0,0
1868-08-31 00:00:00,0,18.93,0,0,0
1868-09-30 00:00:00,0,18.93,0,0,0
1868-10-31 00:00:00,0,18.93,0,0,0
1868-11-30 00:00:00,0,18.93,0,0,0
1868-12-31 00:00:00,0,18.93,0,0,0
1869-01-31 00:00:00,0,18.93,0,0,0
1869-02-28 00:00:00,0,18.93,0,0,0
1869-03-31 00:00:00,0,18.93,0,0,0
1869-04-30 00:00:00,0,18.93,0,0,0
1869-05-31 00:00:00,0,18.93,0,0,0
1869-06-30 00:00:00,0,18.93,0,0,0
1869-07-31 00:00:00,0,18.93,0,0,0
1869-08-31 00:00:00,0,18.93,0,0,0
1869-09-30 00:00:00,0,18.93,0,0,0
1869-10-31 00:00:00,0,18.93,0,0,0
1869-11-30 00:00:00,0,18.93,0,0,0
1869-12-31 00:00:00,0,18.93,0,0,0
1870-01-31 00:00:00,0,18.93,0,0,0
1870-02-28 00:00:00,0,18.93,0,0,0
1870-03-31 00:00:00,0,18.93,0,0,0
1870-04-30 00:00:00,0,18.93,0,0,0
1870-05-31 00:00:00,0,18.93,0,0,0
1870-06-30 00:00:00,0,18.93,0,0,0
1870-07-31 00:00:00,0,18.93,0,0,0
